netstrain	pxy1	varcorCSYM	Pxy[Mpa]
1.3700	0.9176	93.7449	917.5510
1.3750	0.9217	93.6219	921.7014
1.3800	0.9145	93.6624	914.5455
1.3850	0.9188	93.6835	918.8342
1.3900	0.9214	93.6584	921.4480
1.3950	0.9258	93.6129	925.7848
1.4000	0.9285	93.6278	928.4750
1.4050	0.9328	93.5671	932.7690
1.4100	0.9355	93.6299	935.4875
1.4150	0.9398	93.6059	939.7682
1.4200	0.9424	93.5439	942.3754
1.4250	0.9468	93.5261	946.7628
1.4300	0.9492	93.4629	949.1850
1.4350	0.9535	93.5215	953.5089
1.4400	0.9562	93.4701	956.2440
1.4450	0.9605	93.4778	960.4890
1.4500	0.9632	93.4791	963.1917
1.4550	0.9675	93.4371	967.4595
1.4600	0.9702	93.4708	970.2166
1.4650	0.9745	93.4352	974.4715
1.4700	0.9772	93.5159	977.2134
1.4750	0.9815	93.4219	981.4732
1.4800	0.9843	93.4123	984.2610
1.4850	0.9884	93.3850	988.4240
1.4900	0.9912	93.3710	991.2152
1.4950	0.9954	93.3401	995.4430
1.5000	0.9982	93.3857	998.2039
1.5050	1.0024	93.3376	1002.3854
1.5100	1.0052	93.4299	1005.1964
1.5150	1.0094	93.3209	1009.4372
1.5200	1.0122	93.3056	1012.1946
1.5250	1.0164	93.3092	1016.4497
1.5300	1.0192	93.3228	1019.2075
1.5350	1.0234	93.2868	1023.4075
1.5400	1.0262	93.3378	1026.2033
1.5450	1.0304	93.2579	1030.4090
1.5500	1.0331	93.3373	1033.1387
1.5550	1.0118	93.0851	1011.8157
1.5600	1.0157	93.0882	1015.6621
1.5650	1.0187	93.0146	1018.7215
1.5700	1.0226	93.0673	1022.5887
1.5750	1.0257	93.0317	1025.6808
1.5800	1.0296	93.0368	1029.6437
1.5850	1.0327	93.0409	1032.6801
1.5900	1.0366	93.0013	1036.5893
1.5950	1.0397	93.0056	1039.6732
1.6000	1.0436	93.0395	1043.6372
1.6050	1.0467	92.9805	1046.6503
1.6100	1.0506	93.0004	1050.6371
1.6150	1.0536	92.9524	1053.5734
1.6200	1.0576	92.9991	1057.6222
1.6250	1.0606	92.9012	1060.6145
1.6300	1.0647	92.9881	1064.6698
1.6350	1.0676	92.9011	1067.5924
1.6400	1.0717	92.9230	1071.6946
1.6450	1.0746	92.9383	1074.5821
1.6500	1.0787	92.8893	1078.6876
1.6550	1.0815	92.8874	1081.5470
1.6600	1.0857	92.9709	1085.6680
1.6650	1.0885	92.9261	1088.5466
1.6700	1.0927	92.8129	1092.6672
1.6750	1.0955	92.8575	1095.5125
1.6800	1.0997	92.8483	1099.6716
1.6850	1.0845	92.7068	1084.4771
1.6900	1.0888	92.5590	1088.8418
1.6950	1.0915	92.5498	1091.5343
1.7000	1.0958	92.6329	1095.7653
1.7050	1.0985	92.5682	1098.5382
1.7100	1.1028	92.5622	1102.8055
1.7150	1.1055	92.6178	1105.5299
1.7200	1.1098	92.6033	1109.7755
1.7250	1.1125	92.4875	1112.5135
1.7300	1.1168	92.5977	1116.7542
1.7350	1.1188	92.5612	1118.7603
1.7400	1.1224	92.5876	1122.3969
1.7450	1.1252	92.5012	1125.2132
1.7500	1.1294	92.5335	1129.3759
1.7550	1.0914	92.5115	1091.3651
1.7600	1.0957	92.3979	1095.6771
1.7650	1.0984	92.4420	1098.4465
1.7700	1.1026	92.4777	1102.6440
1.7750	1.1054	92.4464	1105.4365
1.7800	1.1095	92.3734	1109.4961
1.7850	1.1123	92.4227	1112.2790
1.7900	1.1165	92.3846	1116.4601
1.7950	1.1193	92.4319	1119.2623
1.8000	1.1235	92.3393	1123.4517
1.8050	1.1263	92.4508	1126.2560
1.8100	1.1304	92.3915	1130.4357
1.8150	1.1332	92.3658	1133.2403
1.8200	1.1374	92.3373	1137.4211
1.8250	1.1403	92.3541	1140.2536
1.8300	1.1445	92.3865	1144.4528
1.8350	1.1472	92.4328	1147.1757
1.8400	1.1514	92.2472	1151.4419
1.8450	1.1541	92.3533	1154.1305
1.8500	1.1584	92.3352	1158.4388
1.8550	1.1611	92.2923	1161.1227
1.8600	1.1654	92.3497	1165.4039
1.8650	1.1681	92.3091	1168.1290
1.8700	1.1719	92.3249	1171.9284
1.8750	1.1745	92.3348	1174.5255
1.8800	1.1790	92.2762	1178.9625
1.8850	1.1815	92.2912	1181.5397
1.8900	1.1859	92.3168	1185.9127
1.8950	1.1885	92.2815	1188.4639
1.9000	1.1929	92.2847	1192.9248
1.9050	1.1955	92.3273	1195.4664
1.9100	1.1999	92.2658	1199.9067
1.9150	1.2025	92.1727	1202.4834
1.9200	1.2066	92.2273	1206.6043
1.9250	1.2092	92.3146	1209.1847
1.9300	1.2136	92.2803	1213.5657
1.9350	1.2161	92.1619	1216.1434
1.9400	1.2201	92.2169	1220.1184
1.9450	1.2228	92.1689	1222.8476
1.9500	1.2271	92.2042	1227.1126
1.9550	1.2298	92.0911	1229.8141
1.9600	1.2341	92.1010	1234.0899
1.9650	1.2368	92.0607	1236.7871
1.9700	1.2411	92.1454	1241.0942
1.9750	1.2438	92.1442	1243.8332
1.9800	1.2480	92.1924	1248.0040
1.9850	1.2509	92.1314	1250.8502
1.9900	1.2550	92.0397	1254.9945
1.9950	1.2577	92.0487	1257.7287
2.0000	1.2620	91.9655	1262.0070
2.0050	1.2648	91.9895	1264.7671
2.0100	1.2690	91.9833	1268.9611
2.0150	1.2717	91.9526	1271.7334
2.0200	1.2760	92.0303	1275.9522
2.0250	1.2714	91.8804	1271.4217
2.0300	1.2754	91.8560	1275.4329
2.0350	1.2784	91.8769	1278.3503
2.0400	1.2824	91.8667	1282.3938
2.0450	1.2854	91.7981	1285.3662
2.0500	1.2893	91.9199	1289.3260
2.0550	1.2923	91.9466	1292.2542
2.0600	1.2963	91.9390	1296.3163
2.0650	1.2992	91.9259	1299.1884
2.0700	1.3034	91.9120	1303.3534
2.0750	1.3061	91.9310	1306.1353
2.0800	1.3103	91.8765	1310.2700
2.0850	1.3131	91.8967	1313.1295
2.0900	1.3173	91.9677	1317.3002
2.0950	1.3201	91.9657	1320.0599
2.1000	1.3243	91.9706	1324.3162
2.1050	1.3270	91.8689	1327.0496
2.1100	1.3313	91.9152	1331.2824
2.1150	1.3340	91.9342	1333.9931
2.1200	1.3383	91.9283	1338.2568
2.1250	1.3407	91.8872	1340.6698
2.1300	1.3449	91.9107	1344.8739
2.1350	1.3474	91.9625	1347.3811
2.1400	1.3408	91.9411	1340.8277
2.1450	1.2247	92.0220	1224.6899
2.1500	1.2288	91.9531	1228.7999
2.1550	1.2317	92.0021	1231.6912
2.1600	1.2358	92.0293	1235.8449
2.1650	1.2387	91.9995	1238.6564
2.1700	1.2428	91.9175	1242.7964
2.1750	1.2456	91.9713	1245.6217
2.1800	1.2498	91.9756	1249.7910
2.1850	1.2526	91.9208	1252.6061
2.1900	1.2568	91.8890	1256.7773
2.1950	1.2596	91.9216	1259.5770
2.2000	1.2638	91.9083	1263.8265
2.2050	1.2665	91.8902	1266.4836
2.2100	1.2708	91.8813	1270.7922
2.2150	1.2735	91.8555	1273.4750
2.2200	1.2778	91.8679	1277.8256
2.2250	1.2805	91.8140	1280.4865
2.2300	1.2848	91.8227	1284.7723
2.2350	1.2874	91.8403	1287.4231
2.2400	1.2917	91.7490	1291.7260
2.2450	1.2944	91.8206	1294.3531
2.2500	1.2987	91.8111	1298.7281
2.2550	1.3013	91.7615	1301.3495
2.2600	1.3057	91.7583	1305.7233
